# Program: /home/emthompson/DistanceConversion/RjbMeanVar.py
# Config file: Rjb_WC94_mechA_ar1p7_seis0-20.ini
# Process start: 2015-11-03T10:19:47.672925
# Process finish: 2015-11-03T11:03:50.671577
# rup_dim_model = WC94, mech = A, LW = False, AR = 1.7, ndip = 19, mindip = 0.000000, maxdip = 1.570796, ntheta = 73, maxnx = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 20.000000
"Repi_km","R4","R4.25","R4.5","R4.75","R5","R5.25","R5.5","R5.75","R6","R6.25","R6.5","R6.75","R7","R7.25","R7.5","R7.75","R8","R8.25","R8.5","R8.75","R9"
0.100000,0.100153,0.082273,0.068147,0.057229,0.049024,0.043114,0.038972,0.036093,0.034126,0.032811,0.031934,0.031372,0.031073,0.030963,0.030941,0.030940,0.030940,0.030940,0.030940,0.030940,0.030940
0.125893,0.119385,0.097775,0.080378,0.066667,0.056097,0.048190,0.042520,0.038560,0.035811,0.033939,0.032689,0.031888,0.031456,0.031295,0.031263,0.031261,0.031261,0.031261,0.031261,0.031261,0.031261
0.158489,0.142361,0.116542,0.095472,0.078542,0.065232,0.055005,0.047386,0.041953,0.038169,0.035543,0.033763,0.032624,0.032004,0.031768,0.031719,0.031716,0.031716,0.031716,0.031716,0.031716,0.031716
0.199526,0.169586,0.138979,0.113776,0.093230,0.076753,0.063842,0.053947,0.046619,0.041425,0.037798,0.035293,0.033670,0.032785,0.032448,0.032376,0.032372,0.032372,0.032372,0.032372,0.032372,0.032372
0.251189,0.201585,0.165579,0.135674,0.111072,0.091038,0.075014,0.062491,0.052933,0.045899,0.040921,0.037453,0.035153,0.033874,0.033378,0.033270,0.033262,0.033262,0.033262,0.033262,0.033262,0.033262
0.316228,0.238875,0.196888,0.161666,0.132442,0.108422,0.088896,0.073319,0.061185,0.051964,0.045208,0.040445,0.037249,0.035411,0.034663,0.034489,0.034474,0.034474,0.034474,0.034474,0.034474,0.034474
0.398107,0.281900,0.233422,0.192288,0.157831,0.129274,0.105829,0.086803,0.071675,0.059932,0.051033,0.044552,0.040150,0.037559,0.036433,0.036138,0.036104,0.036103,0.036103,0.036103,0.036103,0.036103
0.501187,0.330920,0.275630,0.228068,0.187777,0.154075,0.126172,0.103288,0.084770,0.070094,0.058723,0.050142,0.044124,0.040509,0.038853,0.038340,0.038254,0.038248,0.038248,0.038248,0.038248,0.038248
0.630957,0.385821,0.323822,0.269474,0.222817,0.183366,0.150405,0.123134,0.100814,0.082799,0.068559,0.057562,0.049543,0.044536,0.042133,0.041297,0.041093,0.041062,0.041061,0.041061,0.041061,0.041061
0.794328,0.445787,0.377946,0.316838,0.263432,0.217681,0.179061,0.146807,0.120175,0.098416,0.080888,0.067088,0.056760,0.049994,0.046536,0.045217,0.044814,0.044711,0.044697,0.044697,0.044697,0.044697
1.000000,0.509205,0.437296,0.370174,0.309965,0.257503,0.212662,0.174832,0.143299,0.117310,0.096092,0.079063,0.066059,0.057269,0.052453,0.050399,0.049673,0.049434,0.049377,0.049372,0.049372,0.049372
1.258925,0.573922,0.500354,0.428877,0.362494,0.303210,0.251701,0.207723,0.170695,0.139893,0.114525,0.093867,0.077766,0.066603,0.060198,0.057199,0.055995,0.055539,0.055388,0.055356,0.055353,0.055353
1.584893,0.637501,0.565020,0.491533,0.420527,0.354929,0.296576,0.245986,0.202885,0.166664,0.136568,0.111843,0.092299,0.078444,0.070212,0.066060,0.064181,0.063387,0.063081,0.062980,0.062960,0.062958
1.995262,0.697264,0.628906,0.556108,0.482750,0.412259,0.347469,0.290045,0.240383,0.198159,0.162724,0.133367,0.109967,0.093144,0.082846,0.077344,0.074617,0.073344,0.072809,0.072603,0.072538,0.072526
2.511886,0.750807,0.689362,0.620257,0.547196,0.474007,0.404079,0.340118,0.283628,0.234899,0.193536,0.158924,0.131059,0.110756,0.098038,0.090955,0.087193,0.085278,0.084399,0.084026,0.083880,0.083833
3.162278,0.796868,0.743874,0.681356,0.611562,0.538287,0.465319,0.395987,0.332876,0.277331,0.229518,0.189058,0.156102,0.131723,0.116102,0.107103,0.102070,0.099344,0.097993,0.097378,0.097117,0.097018
3.981072,0.835461,0.790989,0.736804,0.673249,0.602821,0.529386,0.456687,0.387986,0.325746,0.271142,0.224305,0.185663,0.156618,0.137577,0.126285,0.119728,0.115990,0.114036,0.113092,0.112660,0.112474
5.011872,0.867319,0.830573,0.784967,0.729596,0.665041,0.594036,0.520497,0.448112,0.380085,0.318730,0.265139,0.220232,0.185852,0.162781,0.148727,0.140324,0.135327,0.132573,0.131173,0.130497,0.130181
