# Program: /home/emthompson/DistanceConversion/RjbMeanVar.py
# Config file: Rjb_S14_mechA_ar1p0_seis0-15.ini
# Process start: 2015-11-03T13:57:22.604575
# Process finish: 2015-11-03T14:41:20.731920
# rup_dim_model = S14, mech = A, LW = False, AR = 1.0, ndip = 19, mindip = 0.000000, maxdip = 1.570796, ntheta = 73, maxnx = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 15.000000
"Repi_km","V4","V4.25","V4.5","V4.75","V5","V5.25","V5.5","V5.75","V6","V6.25","V6.5","V6.75","V7","V7.25","V7.5","V7.75","V8","V8.25","V8.5","V8.75","V9"
0.100000,0.000635,0.000538,0.000455,0.000389,0.000338,0.000300,0.000273,0.000257,0.000246,0.000240,0.000237,0.000235,0.000234,0.000234,0.000234,0.000234,0.000234,0.000234,0.000234,0.000234,0.000234
0.125893,0.001142,0.000974,0.000824,0.000699,0.000598,0.000521,0.000465,0.000427,0.000403,0.000388,0.000380,0.000376,0.000375,0.000374,0.000374,0.000374,0.000374,0.000374,0.000374,0.000374,0.000374
0.158489,0.002031,0.001754,0.001493,0.001263,0.001072,0.000921,0.000806,0.000723,0.000668,0.000633,0.000614,0.000605,0.000602,0.000601,0.000601,0.000601,0.000601,0.000601,0.000601,0.000601,0.000601
0.199526,0.003557,0.003131,0.002694,0.002289,0.001937,0.001647,0.001419,0.001247,0.001125,0.001046,0.001000,0.000979,0.000971,0.000969,0.000969,0.000969,0.000969,0.000969,0.000969,0.000969,0.000969
0.251189,0.006100,0.005509,0.004823,0.004137,0.003509,0.002970,0.002531,0.002187,0.001932,0.001755,0.001648,0.001596,0.001578,0.001574,0.001573,0.001573,0.001573,0.001573,0.001573,0.001573,0.001573
0.316228,0.010161,0.009502,0.008520,0.007422,0.006347,0.005377,0.004555,0.003890,0.003376,0.003001,0.002758,0.002631,0.002584,0.002574,0.002573,0.002573,0.002573,0.002573,0.002573,0.002573,0.002573
0.398107,0.016281,0.015955,0.014776,0.013161,0.011415,0.009736,0.008242,0.006987,0.005984,0.005224,0.004701,0.004404,0.004280,0.004248,0.004245,0.004245,0.004245,0.004245,0.004245,0.004245,0.004245
0.501187,0.024772,0.025845,0.024997,0.022943,0.020309,0.017543,0.014930,0.012633,0.010725,0.009228,0.008153,0.007496,0.007189,0.007092,0.007075,0.007074,0.007074,0.007074,0.007074,0.007074,0.007074
0.630957,0.035246,0.039886,0.040904,0.039085,0.035573,0.031309,0.026945,0.022891,0.019372,0.016505,0.014365,0.012985,0.012271,0.011999,0.011930,0.011920,0.011919,0.011919,0.011919,0.011919,0.011919
0.794328,0.046349,0.057780,0.063966,0.064551,0.060997,0.055088,0.048226,0.041367,0.035094,0.029766,0.025638,0.022846,0.021286,0.020601,0.020377,0.020327,0.020320,0.020320,0.020320,0.020320,0.020320
