# Program: /home/emthompson/DistanceConversion/RjbMeanVar.py
# Config file: Rjb_S14_mechN_ar1p0_seis0-15.ini
# Process start: 2015-11-04T09:09:29.687093
# Process finish: 2015-11-04T09:22:14.736724
# rup_dim_model = S14, mech = N, LW = False, AR = 1.0, ndip = 5, mindip = 0.698132, maxdip = 1.047198, ntheta = 73, maxnx = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 15.000000
"Repi_km","R4","R4.25","R4.5","R4.75","R5","R5.25","R5.5","R5.75","R6","R6.25","R6.5","R6.75","R7","R7.25","R7.5","R7.75","R8","R8.25","R8.5","R8.75","R9"
0.100000,0.090314,0.068283,0.051717,0.039325,0.030132,0.023432,0.018722,0.015676,0.013978,0.013233,0.013001,0.012959,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956
0.125893,0.112964,0.085378,0.064568,0.048947,0.037283,0.028635,0.022341,0.017969,0.015227,0.013767,0.013162,0.012986,0.012957,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956
0.158489,0.141273,0.106822,0.080727,0.061057,0.046315,0.035343,0.027231,0.021336,0.017285,0.014824,0.013581,0.013101,0.012974,0.012957,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956
0.199526,0.176467,0.133609,0.101004,0.076323,0.057725,0.043805,0.033478,0.025884,0.020405,0.016697,0.014504,0.013461,0.013100,0.013021,0.013015,0.013015,0.013015,0.013015,0.013015,0.013015,0.013015
0.251189,0.219950,0.166937,0.126343,0.095493,0.072167,0.054616,0.041484,0.031748,0.024625,0.019552,0.016215,0.014367,0.013606,0.013404,0.013378,0.013377,0.013377,0.013377,0.013377,0.013377,0.013377
0.316228,0.273027,0.208224,0.157917,0.119484,0.090314,0.068283,0.051717,0.039325,0.030132,0.023443,0.018826,0.016043,0.014740,0.014325,0.014251,0.014246,0.014246,0.014246,0.014246,0.014246,0.014246
0.398107,0.336080,0.258819,0.197082,0.149361,0.112964,0.085378,0.064568,0.048947,0.037284,0.028649,0.022489,0.018544,0.016539,0.015829,0.015688,0.015677,0.015677,0.015677,0.015677,0.015677,0.015677
0.501187,0.407890,0.319405,0.245242,0.186504,0.141273,0.106822,0.080727,0.061057,0.046315,0.035359,0.027410,0.022080,0.019105,0.017906,0.017617,0.017593,0.017593,0.017593,0.017593,0.017593,0.017593
0.630957,0.485192,0.389279,0.303322,0.232292,0.176467,0.133609,0.101004,0.076323,0.057725,0.043820,0.033636,0.026630,0.022483,0.020635,0.020098,0.020020,0.020016,0.020016,0.020016,0.020016,0.020016
0.794328,0.563022,0.465630,0.371082,0.287863,0.219950,0.166937,0.126343,0.095493,0.072168,0.054633,0.041671,0.032627,0.027100,0.024388,0.023428,0.023222,0.023206,0.023206,0.023206,0.023206,0.023206
