# Program: /home/emthompson/DistanceConversion/RjbMeanVar.py
# Config file: Rjb_S14_mechSS_ar1p0_seis0-15.ini
# Process start: 2015-11-04T08:55:06.891944
# Process finish: 2015-11-04T09:09:29.096896
# rup_dim_model = S14, mech = SS, LW = False, AR = 1.0, ndip = 7, mindip = 1.047198, maxdip = 1.570796, ntheta = 73, maxnx = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 15.000000
"Repi_km","V4","V4.25","V4.5","V4.75","V5","V5.25","V5.5","V5.75","V6","V6.25","V6.5","V6.75","V7","V7.25","V7.5","V7.75","V8","V8.25","V8.5","V8.75","V9"
0.100000,0.000952,0.000870,0.000788,0.000713,0.000649,0.000598,0.000559,0.000530,0.000510,0.000496,0.000487,0.000483,0.000481,0.000481,0.000481,0.000481,0.000481,0.000481,0.000481,0.000481,0.000481
0.125893,0.001599,0.001484,0.001353,0.001224,0.001108,0.001011,0.000934,0.000875,0.000833,0.000804,0.000785,0.000775,0.000772,0.000771,0.000771,0.000771,0.000771,0.000771,0.000771,0.000771,0.000771
0.158489,0.002633,0.002501,0.002312,0.002102,0.001901,0.001722,0.001575,0.001459,0.001373,0.001311,0.001271,0.001250,0.001243,0.001241,0.001241,0.001241,0.001241,0.001241,0.001241,0.001241,0.001241
0.199526,0.004233,0.004142,0.003909,0.003599,0.003267,0.002953,0.002679,0.002455,0.002282,0.002156,0.002073,0.002029,0.002012,0.002008,0.002008,0.002008,0.002008,0.002008,0.002008,0.002008,0.002008
0.251189,0.006613,0.006703,0.006505,0.006104,0.005599,0.005074,0.004587,0.004169,0.003830,0.003576,0.003406,0.003315,0.003281,0.003273,0.003272,0.003272,0.003272,0.003272,0.003272,0.003272,0.003272
0.316228,0.009997,0.010550,0.010595,0.010203,0.009521,0.008704,0.007879,0.007128,0.006491,0.005990,0.005645,0.005457,0.005385,0.005369,0.005368,0.005368,0.005368,0.005368,0.005368,0.005368,0.005368
0.398107,0.014576,0.016083,0.016797,0.016717,0.015986,0.014842,0.013529,0.012236,0.011079,0.010131,0.009449,0.009061,0.008907,0.008872,0.008869,0.008869,0.008869,0.008869,0.008869,0.008869,0.008869
0.501187,0.020405,0.023673,0.025819,0.026690,0.026331,0.025011,0.023118,0.021025,0.019009,0.017265,0.015955,0.015174,0.014850,0.014773,0.014767,0.014767,0.014767,0.014767,0.014767,0.014767,0.014767
0.630957,0.027200,0.033496,0.038356,0.041364,0.042335,0.041415,0.039091,0.035988,0.032672,0.029596,0.027161,0.025641,0.024972,0.024792,0.024770,0.024770,0.024770,0.024770,0.024770,0.024770,0.024770
0.794328,0.034250,0.045233,0.054829,0.061995,0.066134,0.067034,0.065052,0.061039,0.055991,0.050854,0.046522,0.043664,0.042311,0.041901,0.041840,0.041839,0.041839,0.041839,0.041839,0.041839,0.041839
