# Program: /Users/emthompson/PROJECTS/DistanceConversion/Bruce/RjbMeanVar.py
# Config file: Rjb_WC94_mechN_ar1p7_seis0-20_dip50.ini
# Process start: 2016-01-19T17:42:04.017811
# Process finish: 2016-01-19T17:49:06.483425
# rup_dim_model = WC94, mech = N, LW = False, AR = 1.7, ndip = 1, mindip = 0.872665, maxdip = 0.872665, ntheta = 73, maxnx = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 20.000000
"Repi_km","R4","R4.25","R4.5","R4.75","R5","R5.25","R5.5","R5.75","R6","R6.25","R6.5","R6.75","R7","R7.25","R7.5","R7.75","R8","R8.25","R8.5","R8.75","R9"
0.100000,0.041403,0.033273,0.026932,0.022170,0.018817,0.016502,0.014827,0.013689,0.013127,0.012971,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956
0.125893,0.051499,0.041180,0.033096,0.026794,0.022070,0.018748,0.016454,0.014792,0.013666,0.013119,0.012969,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956
0.158489,0.064287,0.051217,0.040957,0.032919,0.026658,0.021973,0.018680,0.016406,0.014756,0.013644,0.013110,0.012967,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956
0.199526,0.080401,0.063928,0.050937,0.040735,0.032742,0.026523,0.021876,0.018612,0.016359,0.014721,0.013623,0.013102,0.012966,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956
0.251189,0.100655,0.079951,0.063572,0.050657,0.040514,0.032565,0.026390,0.021777,0.018546,0.016312,0.014685,0.013603,0.013094,0.012965,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956
0.316228,0.126037,0.100087,0.079502,0.063219,0.050378,0.040295,0.032389,0.026259,0.021681,0.018482,0.016264,0.014650,0.013582,0.013087,0.012964,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956
0.398107,0.157726,0.125328,0.099523,0.079059,0.062869,0.050102,0.040074,0.032216,0.026127,0.021585,0.018420,0.016258,0.014793,0.013965,0.013654,0.013597,0.013594,0.013594,0.013594,0.013594,0.013594
0.501187,0.197183,0.156845,0.124623,0.098964,0.078618,0.062519,0.049827,0.039852,0.032046,0.025996,0.021495,0.018416,0.016525,0.015566,0.015231,0.015168,0.015165,0.015165,0.015165,0.015165,0.015165
0.630957,0.246006,0.196089,0.155968,0.123922,0.098409,0.078179,0.062170,0.049555,0.039632,0.031877,0.025868,0.021464,0.018674,0.017318,0.016889,0.016822,0.016819,0.016819,0.016819,0.016819,0.016819
0.794328,0.304943,0.244663,0.194999,0.155097,0.123223,0.097860,0.077743,0.061824,0.049281,0.039414,0.031715,0.025832,0.021840,0.019779,0.019092,0.018976,0.018970,0.018970,0.018970,0.018970,0.018970
