# Process start: 2015-11-03T04:04:55.423998
# Process finish: 2015-11-03T07:10:43.419956
# rup_dim_model = S14, mech = SS, LW = False, AR = 1.0, ndip = 7, mindip = 1.047198, maxdip = 1.570796, ntheta = 73, maxnx = 40, nz = 20
# neps = 7, trunc = 3, min_seis_depth = 0.000000, max_seis_depth = 15.000000
"Repi_km","R4","R4.25","R4.5","R4.75","R5","R5.25","R5.5","R5.75","R6","R6.25","R6.5","R6.75","R7","R7.25","R7.5","R7.75","R8","R8.25","R8.5","R8.75","R9"
0.100000,77.196806,75.852428,74.069824,71.710691,68.597517,64.507651,59.175796,52.333640,43.930585,34.869022,27.151710,22.501974,20.689635,20.306423,20.277867,20.277867,20.277867,20.277867,20.277867,20.277867,20.277867
0.125893,61.324230,60.255971,58.839669,56.965468,54.492367,51.243514,47.008178,41.573247,34.898555,27.700870,21.570935,17.877544,16.437920,16.133502,16.110817,16.110817,16.110817,16.110817,16.110817,16.110817,16.110817
0.158489,48.717295,47.868311,46.742924,45.253869,43.289151,40.708295,37.343927,33.026783,27.724999,22.007886,17.138874,14.205126,13.061539,12.819699,12.801677,12.801677,12.801677,12.801677,12.801677,12.801677,12.801677
0.199526,38.704602,38.029735,37.135373,35.952199,34.391253,32.340961,29.668391,26.239125,22.027902,17.486901,13.619520,11.289185,10.380737,10.188598,10.174278,10.174278,10.174278,10.174278,10.174278,10.174278,10.174278
0.251189,30.752902,30.216277,29.505357,28.565093,27.324821,25.695922,23.572828,20.848814,17.503883,13.897173,10.825504,8.974534,8.252885,8.100226,8.088848,8.088848,8.088848,8.088848,8.088848,8.088848,8.088848
0.316228,24.438711,24.011813,23.446529,22.699141,21.713525,20.419299,18.732630,16.568804,13.912027,11.047519,8.607950,7.137734,6.564426,6.443110,6.434067,6.434067,6.434067,6.434067,6.434067,6.434067,6.434067
0.398107,19.425765,19.085908,18.636211,18.041940,17.258527,16.230079,14.890036,13.171175,11.061067,8.786203,6.848798,5.681020,5.225512,5.129074,5.121884,5.121884,5.121884,5.121884,5.121884,5.121884,5.121884
0.501187,15.447140,15.176230,14.818208,14.345453,13.722560,12.905152,11.840398,10.474987,8.799188,6.992826,5.454402,4.526858,4.164878,4.088178,4.082458,4.082458,4.082458,4.082458,4.082458,4.082458,4.082458
0.630957,12.291024,12.074596,11.789177,11.412792,10.917287,10.267424,9.421289,8.336642,7.005931,5.571882,4.350496,3.613753,3.325984,3.264913,3.260348,3.260347,3.260347,3.260347,3.260347,3.260347,3.260347
0.794328,9.789387,9.615877,9.387805,9.087735,8.693259,8.176372,7.503833,6.642225,5.585774,4.447706,3.478340,2.893153,2.664223,2.615481,2.611809,2.611806,2.611806,2.611806,2.611806,2.611806,2.611806
1.000000,7.808913,7.669153,7.486215,7.246412,6.931951,6.520549,5.985832,5.301420,4.463017,3.560386,2.791462,2.326668,2.144336,2.105281,2.102285,2.102275,2.102274,2.102274,2.102274,2.102274,2.102274
1.258925,6.243747,6.130601,5.983102,5.790705,5.539443,5.211621,4.786296,4.242679,3.577719,2.862514,2.253177,1.884109,1.738679,1.707166,1.704620,1.704576,1.704573,1.704573,1.704573,1.704573,1.704573
1.584893,5.009754,4.917781,4.798186,4.642968,4.441416,4.179655,3.841091,3.409361,2.882477,2.316906,1.835580,1.543830,1.428372,1.402910,1.400614,1.400504,1.400495,1.400495,1.400495,1.400495,1.400495
1.995262,4.040025,3.965110,3.867717,3.741735,3.579147,3.369383,3.099492,2.756665,2.339762,1.893681,1.514891,1.285282,1.193889,1.173141,1.170892,1.170658,1.170623,1.170621,1.170621,1.170621,1.170621
2.511886,3.281334,3.220336,3.140898,3.038186,2.906205,2.737203,2.521455,2.249169,1.919882,1.569098,1.271935,1.091476,1.018786,1.001386,0.998882,0.998390,0.998286,0.998278,0.998278,0.998278,0.998278
3.162278,2.691319,2.641776,2.577092,2.493281,2.385679,2.248680,2.075418,1.858889,1.599287,1.324397,1.091981,0.950040,0.891516,0.876212,0.873161,0.872305,0.872095,0.872073,0.872073,0.872073,0.872073
3.981072,2.236181,2.196125,2.143693,2.075541,1.987835,1.876348,1.736438,1.563707,1.359204,1.144411,0.962864,0.850508,0.802220,0.787888,0.784009,0.782604,0.782158,0.782072,0.782066,0.782066,0.782066
5.011872,1.888824,1.856655,1.814454,1.759433,1.688351,1.597773,1.484439,1.346013,1.184599,1.016824,0.874746,0.784697,0.743414,0.729035,0.723954,0.721758,0.720953,0.720766,0.720751,0.720751,0.720751
