# Program: /Users/emthompson/PROJECTS/DistanceConversion/Bruce/RjbMeanVar.py
# Config file: Rjb_WC94_mechR_ar1p7_seis0-20_dip40.ini
# Process start: 2016-01-19T21:07:22.558346
# Process finish: 2016-01-19T21:13:47.771016
# rup_dim_model = WC94, mech = R, LW = False, AR = 1.7, ndip = 1, mindip = 0.698132, maxdip = 0.698132, ntheta = 73, maxnx = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 20.000000
"Repi_km","V4","V4.25","V4.5","V4.75","V5","V5.25","V5.5","V5.75","V6","V6.25","V6.5","V6.75","V7","V7.25","V7.5","V7.75","V8","V8.25","V8.5","V8.75","V9"
0.100000,0.000355,0.000280,0.000222,0.000178,0.000147,0.000125,0.000112,0.000105,0.000101,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100
0.125893,0.000678,0.000538,0.000426,0.000338,0.000272,0.000225,0.000194,0.000175,0.000165,0.000160,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159
0.158489,0.001287,0.001031,0.000817,0.000646,0.000514,0.000415,0.000346,0.000301,0.000273,0.000259,0.000253,0.000252,0.000252,0.000252,0.000252,0.000252,0.000252,0.000252,0.000252,0.000252,0.000252
0.199526,0.002413,0.001960,0.001566,0.001241,0.000982,0.000782,0.000635,0.000532,0.000467,0.000428,0.000408,0.000401,0.000400,0.000400,0.000400,0.000400,0.000400,0.000400,0.000400,0.000400,0.000400
0.251189,0.004444,0.003687,0.002984,0.002379,0.001883,0.001491,0.001191,0.000971,0.000821,0.000725,0.000670,0.000643,0.000635,0.000633,0.000633,0.000633,0.000633,0.000633,0.000633,0.000633,0.000633
0.316228,0.007979,0.006822,0.005628,0.004540,0.003614,0.002859,0.002265,0.001815,0.001488,0.001268,0.001129,0.001051,0.001016,0.001005,0.001004,0.001004,0.001004,0.001004,0.001004,0.001004,0.001004
0.398107,0.013812,0.012331,0.010461,0.008588,0.006907,0.005488,0.004340,0.003443,0.002767,0.002283,0.001960,0.001761,0.001651,0.001604,0.001592,0.001591,0.001591,0.001591,0.001591,0.001591,0.001591
0.501187,0.022764,0.021544,0.019022,0.016021,0.013093,0.010500,0.008331,0.006589,0.005235,0.004222,0.003506,0.003036,0.002750,0.002596,0.002536,0.002522,0.002521,0.002521,0.002521,0.002521,0.002521
0.630957,0.035335,0.035930,0.033519,0.029298,0.024514,0.019950,0.015957,0.012647,0.010004,0.007963,0.006449,0.005393,0.004714,0.004323,0.004142,0.004087,0.004080,0.004080,0.004080,0.004080,0.004080
0.794328,0.051359,0.056566,0.056553,0.052043,0.045060,0.037473,0.030378,0.024243,0.019195,0.015193,0.012121,0.009864,0.008331,0.007426,0.007010,0.006883,0.006865,0.006864,0.006864,0.006864,0.006864
1.000000,0.069609,0.083488,0.090284,0.088776,0.080646,0.069210,0.057230,0.046232,0.036825,0.029142,0.023082,0.018467,0.015153,0.013085,0.012111,0.011824,0.011785,0.011783,0.011783,0.011783,0.011783
1.258925,0.087561,0.115033,0.135287,0.143670,0.138994,0.124719,0.106170,0.087355,0.070344,0.055935,0.044243,0.035085,0.028251,0.023727,0.021436,0.020704,0.020595,0.020591,0.020591,0.020591,0.020591
1.584893,0.102224,0.147272,0.189403,0.218449,0.227830,0.217043,0.192562,0.162692,0.133218,0.106968,0.084927,0.067170,0.053506,0.044036,0.038879,0.037054,0.036727,0.036710,0.036710,0.036710,0.036710
1.995262,0.111972,0.174723,0.246578,0.310568,0.351414,0.360104,0.338047,0.296763,0.249030,0.203040,0.162582,0.128931,0.102284,0.083118,0.071978,0.067552,0.066582,0.066507,0.066507,0.066507,0.066507
2.511886,0.117667,0.193674,0.297343,0.411043,0.507324,0.563354,0.567456,0.525367,0.456717,0.380853,0.309251,0.247069,0.196264,0.158509,0.135404,0.125210,0.122430,0.122046,0.122029,0.122029,0.122029
3.162278,0.121252,0.204982,0.334111,0.504126,0.682571,0.825868,0.900345,0.891825,0.814775,0.701913,0.581902,0.470790,0.376287,0.303660,0.257133,0.234767,0.227591,0.226286,0.226212,0.226212,0.226212
3.981072,0.123680,0.211950,0.356700,0.575005,0.851864,1.129597,1.340182,1.434635,1.398045,1.261172,1.077273,0.888425,0.718246,0.582156,0.491350,0.444578,0.427306,0.423138,0.422666,0.422652,0.422652
5.011872,0.125385,0.216590,0.370286,0.619981,0.987298,1.435025,1.863149,2.167569,2.278603,2.185500,1.948604,1.651904,1.358479,1.111249,0.939543,0.845875,0.806924,0.795386,0.793421,0.793313,0.793313
