# Program: /Users/emthompson/PROJECTS/DistanceConversion/Bruce/RjbMeanVar.py
# Config file: Rjb_WC94_mechN_ar1p7_seis0-20_dip50.ini
# Process start: 2016-01-19T17:42:04.017811
# Process finish: 2016-01-19T17:49:06.483548
# rup_dim_model = WC94, mech = N, LW = False, AR = 1.7, ndip = 1, mindip = 0.872665, maxdip = 0.872665, ntheta = 73, maxnx = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 20.000000
"Repi_km","V4","V4.25","V4.5","V4.75","V5","V5.25","V5.5","V5.75","V6","V6.25","V6.5","V6.75","V7","V7.25","V7.5","V7.75","V8","V8.25","V8.5","V8.75","V9"
0.100000,0.000227,0.000188,0.000159,0.000138,0.000123,0.000112,0.000105,0.000102,0.000101,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100
0.125893,0.000434,0.000357,0.000297,0.000251,0.000217,0.000194,0.000178,0.000167,0.000161,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159
0.158489,0.000832,0.000684,0.000564,0.000469,0.000396,0.000343,0.000307,0.000281,0.000264,0.000256,0.000253,0.000252,0.000252,0.000252,0.000252,0.000252,0.000252,0.000252,0.000252,0.000252,0.000252
0.199526,0.001593,0.001312,0.001079,0.000890,0.000740,0.000625,0.000543,0.000485,0.000445,0.000419,0.000405,0.000400,0.000400,0.000400,0.000400,0.000400,0.000400,0.000400,0.000400,0.000400,0.000400
0.251189,0.003030,0.002512,0.002070,0.001702,0.001403,0.001167,0.000987,0.000857,0.000766,0.000703,0.000663,0.000642,0.000635,0.000633,0.000633,0.000633,0.000633,0.000633,0.000633,0.000633,0.000633
0.316228,0.005707,0.004782,0.003963,0.003265,0.002684,0.002214,0.001842,0.001559,0.001355,0.001212,0.001113,0.001049,0.001017,0.001006,0.001004,0.001004,0.001004,0.001004,0.001004,0.001004,0.001004
0.398107,0.010579,0.009007,0.007545,0.006252,0.005149,0.004234,0.003493,0.002907,0.002462,0.002141,0.001916,0.001761,0.001663,0.001616,0.001602,0.001599,0.001599,0.001599,0.001599,0.001599,0.001599
0.501187,0.019166,0.016705,0.014216,0.011904,0.009862,0.008122,0.006679,0.005510,0.004588,0.003887,0.003383,0.003034,0.002811,0.002694,0.002653,0.002646,0.002646,0.002646,0.002646,0.002646,0.002646
0.630957,0.033573,0.030285,0.026379,0.022438,0.018782,0.015558,0.012812,0.010536,0.008693,0.007240,0.006139,0.005357,0.004862,0.004611,0.004526,0.004511,0.004511,0.004511,0.004511,0.004511,0.004511
0.794328,0.056139,0.053104,0.047855,0.041653,0.035414,0.029634,0.024542,0.020209,0.016619,0.013715,0.011427,0.009718,0.008595,0.008023,0.007831,0.007799,0.007797,0.007797,0.007797,0.007797,0.007797
1.000000,0.088788,0.088913,0.083993,0.075617,0.065772,0.055895,0.046756,0.038715,0.031876,0.026215,0.021641,0.018088,0.015633,0.014327,0.013881,0.013805,0.013801,0.013801,0.013801,0.013801,0.013801
1.258925,0.132790,0.140819,0.140815,0.132849,0.119481,0.103854,0.088218,0.073770,0.061073,0.050280,0.041357,0.034237,0.029086,0.026138,0.025027,0.024810,0.024797,0.024797,0.024797,0.024797,0.024797
1.584893,0.188138,0.210901,0.223334,0.223007,0.210116,0.188781,0.163986,0.139229,0.116393,0.096341,0.079317,0.065403,0.054999,0.048657,0.045965,0.045302,0.045235,0.045233,0.045233,0.045233,0.045233
1.995262,0.250281,0.299222,0.334942,0.354195,0.353154,0.332317,0.298274,0.258934,0.219731,0.183641,0.151990,0.125415,0.104947,0.091839,0.085670,0.083812,0.083511,0.083494,0.083494,0.083494,0.083494
2.511886,0.307823,0.398756,0.475893,0.531922,0.561715,0.559248,0.525564,0.471271,0.408845,0.346778,0.289769,0.240307,0.201071,0.174900,0.161515,0.156687,0.155577,0.155463,0.155460,0.155460,0.155460
3.162278,0.349678,0.491466,0.635301,0.756825,0.844718,0.890788,0.885595,0.831141,0.744592,0.645525,0.547332,0.458177,0.385043,0.334428,0.306789,0.295293,0.291890,0.291304,0.291270,0.291270,0.291270
3.981072,0.374646,0.559299,0.784625,1.012120,1.203547,1.341414,1.412591,1.402342,1.314375,1.176439,1.019269,0.865459,0.733385,0.638599,0.584172,0.558967,0.549789,0.547621,0.547438,0.547437,0.547437
