# Program: /home/emthompson/DistanceConversion/RjbMeanVar.py
# Config file: Rjb_S14_mechN_ar1p0_seis0-15.ini
# Process start: 2015-11-04T09:09:29.687093
# Process finish: 2015-11-04T09:22:14.736753
# rup_dim_model = S14, mech = N, LW = False, AR = 1.0, ndip = 5, mindip = 0.698132, maxdip = 1.047198, ntheta = 73, maxnx = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 15.000000
"Repi_km","V4","V4.25","V4.5","V4.75","V5","V5.25","V5.5","V5.75","V6","V6.25","V6.5","V6.75","V7","V7.25","V7.5","V7.75","V8","V8.25","V8.5","V8.75","V9"
0.100000,0.000441,0.000349,0.000274,0.000216,0.000173,0.000141,0.000121,0.000109,0.000103,0.000101,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100
0.125893,0.000837,0.000668,0.000527,0.000414,0.000327,0.000262,0.000216,0.000186,0.000170,0.000162,0.000160,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159,0.000159
0.158489,0.001567,0.001270,0.001010,0.000796,0.000626,0.000495,0.000399,0.000331,0.000289,0.000266,0.000256,0.000253,0.000252,0.000252,0.000252,0.000252,0.000252,0.000252,0.000252,0.000252,0.000252
0.199526,0.002880,0.002386,0.001925,0.001528,0.001203,0.000946,0.000750,0.000607,0.000508,0.000448,0.000417,0.000404,0.000400,0.000400,0.000400,0.000400,0.000400,0.000400,0.000400,0.000400,0.000400
0.251189,0.005159,0.004408,0.003628,0.002916,0.002309,0.001817,0.001430,0.001137,0.000925,0.000782,0.000698,0.000656,0.000641,0.000638,0.000638,0.000638,0.000638,0.000638,0.000638,0.000638,0.000638
0.316228,0.008904,0.007953,0.006737,0.005513,0.004414,0.003489,0.002744,0.002163,0.001726,0.001413,0.001209,0.001096,0.001050,0.001037,0.001035,0.001035,0.001035,0.001035,0.001035,0.001035,0.001035
0.398107,0.014614,0.013871,0.012236,0.010281,0.008370,0.006680,0.005271,0.004144,0.003272,0.002622,0.002170,0.001897,0.001769,0.001729,0.001722,0.001722,0.001722,0.001722,0.001722,0.001722,0.001722
0.501187,0.022460,0.023089,0.021547,0.018790,0.015670,0.012697,0.010104,0.007962,0.006260,0.004954,0.004006,0.003395,0.003081,0.002967,0.002944,0.002942,0.002942,0.002942,0.002942,0.002942,0.002942
0.630957,0.031864,0.036119,0.036338,0.033380,0.028803,0.023856,0.019247,0.015278,0.012028,0.009464,0.007541,0.006236,0.005508,0.005214,0.005142,0.005135,0.005135,0.005135,0.005135,0.005135,0.005135
0.794328,0.041445,0.052324,0.057804,0.056978,0.051586,0.044083,0.036284,0.029159,0.023095,0.018174,0.014370,0.011680,0.010082,0.009371,0.009161,0.009128,0.009126,0.009126,0.009126,0.009126,0.009126
1.000000,0.049603,0.069644,0.085499,0.092107,0.089041,0.079534,0.067366,0.055130,0.044143,0.034903,0.027554,0.022192,0.018837,0.017189,0.016619,0.016501,0.016491,0.016491,0.016491,0.016491,0.016491
1.258925,0.055218,0.084970,0.116317,0.138957,0.146138,0.138714,0.122365,0.102810,0.083702,0.066822,0.052935,0.042465,0.035616,0.032001,0.030604,0.030256,0.030213,0.030211,0.030211,0.030211,0.030211
1.584893,0.058594,0.096040,0.144767,0.193062,0.224604,0.230892,0.215470,0.187901,0.156698,0.127003,0.101438,0.081491,0.067955,0.060393,0.057133,0.056136,0.055952,0.055939,0.055939,0.055939,0.055939
1.995262,0.060659,0.102992,0.166552,0.245481,0.318642,0.361189,0.363385,0.333802,0.288032,0.238620,0.193160,0.156174,0.130141,0.114818,0.107576,0.105030,0.104461,0.104411,0.104410,0.104410,0.104410
