# Program: /home/emthompson/DistanceConversion/RjbMeanVar.py
# Config file: Rjb_WC94_mechA_ar1p0_seis0-20.ini
# Process start: 2015-11-03T08:49:11.116515
# Process finish: 2015-11-03T09:35:17.822434
# rup_dim_model = WC94, mech = A, LW = False, AR = 1.0, ndip = 19, mindip = 0.000000, maxdip = 1.570796, ntheta = 73, maxnx = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 20.000000
"Repi_km","V4","V4.25","V4.5","V4.75","V5","V5.25","V5.5","V5.75","V6","V6.25","V6.5","V6.75","V7","V7.25","V7.5","V7.75","V8","V8.25","V8.5","V8.75","V9"
0.100000,0.000481,0.000415,0.000361,0.000320,0.000289,0.000268,0.000254,0.000246,0.000240,0.000236,0.000234,0.000233,0.000232,0.000232,0.000232,0.000232,0.000232,0.000232,0.000232,0.000232,0.000232
0.125893,0.000871,0.000748,0.000646,0.000564,0.000500,0.000454,0.000421,0.000401,0.000388,0.000380,0.000374,0.000372,0.000370,0.000370,0.000370,0.000370,0.000370,0.000370,0.000370,0.000370,0.000370
0.158489,0.001577,0.001355,0.001164,0.001006,0.000880,0.000783,0.000712,0.000663,0.000633,0.000613,0.000601,0.000595,0.000592,0.000592,0.000592,0.000592,0.000592,0.000592,0.000592,0.000592,0.000592
0.199526,0.002839,0.002455,0.002109,0.001812,0.001568,0.001374,0.001225,0.001117,0.001044,0.000998,0.000971,0.000956,0.000950,0.000949,0.000949,0.000949,0.000949,0.000949,0.000949,0.000949,0.000949
0.251189,0.005055,0.004423,0.003821,0.003281,0.002820,0.002444,0.002145,0.001917,0.001753,0.001644,0.001579,0.001544,0.001532,0.001529,0.001529,0.001529,0.001529,0.001529,0.001529,0.001529,0.001529
0.316228,0.008863,0.007891,0.006891,0.005945,0.005104,0.004391,0.003809,0.003351,0.003002,0.002754,0.002596,0.002514,0.002484,0.002478,0.002477,0.002477,0.002477,0.002477,0.002477,0.002477,0.002477
0.398107,0.015211,0.013870,0.012314,0.010733,0.009252,0.007941,0.006836,0.005940,0.005235,0.004703,0.004339,0.004138,0.004061,0.004044,0.004043,0.004043,0.004043,0.004043,0.004043,0.004043,0.004043
0.501187,0.025359,0.023883,0.021695,0.019210,0.016717,0.014396,0.012357,0.010646,0.009263,0.008182,0.007395,0.006916,0.006711,0.006660,0.006654,0.006654,0.006654,0.006654,0.006654,0.006654,0.006654
0.630957,0.040636,0.039997,0.037478,0.033923,0.029964,0.026031,0.022399,0.019230,0.016583,0.014453,0.012840,0.011782,0.011259,0.011090,0.011062,0.011060,0.011060,0.011060,0.011060,0.011060,0.011060
0.794328,0.061625,0.064491,0.063036,0.058780,0.053023,0.046723,0.040526,0.034854,0.029929,0.025838,0.022641,0.020436,0.019220,0.018732,0.018603,0.018585,0.018584,0.018584,0.018584,0.018584,0.018584
1.000000,0.086735,0.098653,0.102250,0.099278,0.092148,0.082851,0.072834,0.063092,0.054232,0.046589,0.040420,0.036001,0.033384,0.032152,0.031711,0.031604,0.031591,0.031590,0.031590,0.031590,0.031590
1.258925,0.111395,0.140454,0.157721,0.161957,0.156263,0.144395,0.129405,0.113522,0.098213,0.084394,0.072817,0.064230,0.058875,0.056080,0.054857,0.054438,0.054344,0.054334,0.054334,0.054334,0.054334
1.584893,0.130323,0.182814,0.227077,0.251826,0.256311,0.245792,0.226144,0.202074,0.176914,0.152890,0.131848,0.115632,0.105081,0.099173,0.096246,0.095009,0.094615,0.094536,0.094529,0.094529,0.094529
1.995262,0.141689,0.216505,0.299507,0.366495,0.401567,0.405270,0.386390,0.354061,0.315464,0.275686,0.238919,0.209334,0.189258,0.177377,0.170962,0.167871,0.166637,0.166268,0.166204,0.166202,0.166202
