# Program: /home/emthompson/DistanceConversion/RjbMeanVar.py
# Config file: Rjb_S14_mechSS_ar1p0_seis0-15.ini
# Process start: 2015-11-04T08:55:06.891944
# Process finish: 2015-11-04T09:09:29.096868
# rup_dim_model = S14, mech = SS, LW = False, AR = 1.0, ndip = 7, mindip = 1.047198, maxdip = 1.570796, ntheta = 73, maxnx = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 15.000000
"Repi_km","R4","R4.25","R4.5","R4.75","R5","R5.25","R5.5","R5.75","R6","R6.25","R6.5","R6.75","R7","R7.25","R7.5","R7.75","R8","R8.25","R8.5","R8.75","R9"
0.100000,0.234821,0.194306,0.161197,0.135113,0.115207,0.100339,0.089415,0.081581,0.076085,0.072321,0.069944,0.068722,0.068276,0.068180,0.068173,0.068173,0.068173,0.068173,0.068173,0.068173,0.068173
0.125893,0.272624,0.226096,0.187094,0.155453,0.130702,0.111891,0.097862,0.087599,0.080310,0.075317,0.072151,0.070477,0.069840,0.069697,0.069686,0.069686,0.069686,0.069686,0.069686,0.069686,0.069686
0.158489,0.315243,0.262731,0.217688,0.180158,0.149952,0.126500,0.108753,0.095536,0.085914,0.079262,0.075065,0.072849,0.071988,0.071789,0.071774,0.071774,0.071774,0.071774,0.071774,0.071774,0.071774
0.199526,0.362271,0.304161,0.253124,0.209575,0.173506,0.144704,0.122505,0.105786,0.093390,0.084578,0.078961,0.076038,0.074938,0.074686,0.074666,0.074666,0.074666,0.074666,0.074666,0.074666,0.074666
0.251189,0.413028,0.350110,0.293356,0.243813,0.201780,0.167198,0.139772,0.118748,0.103006,0.091610,0.084137,0.080167,0.078670,0.078338,0.078313,0.078313,0.078313,0.078313,0.078313,0.078313,0.078313
0.316228,0.466496,0.400042,0.338218,0.282854,0.234821,0.194306,0.161197,0.135113,0.115233,0.100682,0.090945,0.085595,0.083491,0.083005,0.082968,0.082968,0.082968,0.082968,0.082968,0.082968,0.082968
0.398107,0.521417,0.452955,0.387248,0.326583,0.272624,0.226096,0.187094,0.155453,0.130734,0.112310,0.099755,0.092629,0.089699,0.088977,0.088915,0.088915,0.088915,0.088915,0.088915,0.088915,0.088915
0.501187,0.576730,0.507611,0.439522,0.374658,0.315243,0.262731,0.217688,0.180158,0.149987,0.126980,0.111024,0.101754,0.097724,0.096582,0.096417,0.096408,0.096408,0.096408,0.096408,0.096408,0.096408
0.630957,0.631557,0.562923,0.493841,0.426204,0.362271,0.304161,0.253124,0.209575,0.173551,0.145312,0.125307,0.113404,0.107945,0.106220,0.105909,0.105888,0.105888,0.105888,0.105888,0.105888,0.105888
0.794328,0.684747,0.617962,0.549095,0.480128,0.413028,0.350110,0.293356,0.243813,0.201838,0.167963,0.143218,0.128049,0.120854,0.118440,0.117924,0.117858,0.117854,0.117854,0.117854,0.117854,0.117854
1.000000,0.734804,0.671643,0.604266,0.535253,0.466496,0.400042,0.338218,0.282854,0.234892,0.195250,0.165515,0.146778,0.137519,0.134075,0.133127,0.132936,0.132922,0.132922,0.132922,0.132922,0.132922
1.258925,0.780243,0.722666,0.658395,0.590512,0.521417,0.452955,0.387248,0.326583,0.272713,0.227285,0.192503,0.169985,0.158382,0.153726,0.152287,0.151959,0.151929,0.151928,0.151928,0.151928,0.151928
1.584893,0.819936,0.769406,0.710275,0.645034,0.576730,0.507611,0.439522,0.374658,0.315352,0.264175,0.224287,0.197975,0.184028,0.178116,0.176032,0.175405,0.175283,0.175275,0.175275,0.175275,0.175275
1.995262,0.853610,0.810579,0.758214,0.697632,0.631557,0.562923,0.493841,0.426204,0.362389,0.305747,0.260565,0.230138,0.213565,0.206122,0.203143,0.202085,0.201839,0.201819,0.201819,0.201819,0.201819
2.511886,0.881639,0.845742,0.800839,0.746672,0.684747,0.617962,0.549095,0.480128,0.413155,0.351824,0.301488,0.266636,0.247015,0.237759,0.233787,0.232251,0.231829,0.231766,0.231763,0.231763,0.231763
3.162278,0.904683,0.875127,0.837512,0.790721,0.734804,0.671643,0.604266,0.535253,0.466631,0.401880,0.347025,0.307858,0.285100,0.273940,0.268832,0.266570,0.265780,0.265607,0.265594,0.265594,0.265594
3.981072,0.923472,0.899349,0.868292,0.828912,0.780243,0.722666,0.658395,0.590512,0.521552,0.454816,0.396390,0.353096,0.326933,0.313517,0.307021,0.303920,0.302731,0.302441,0.302414,0.302414,0.302414
5.011872,0.938700,0.919135,0.893738,0.861123,0.819936,0.769406,0.710275,0.645034,0.576860,0.509413,0.448630,0.401792,0.372187,0.356269,0.348227,0.344216,0.342500,0.341953,0.341847,0.341839,0.341839
6.309573,0.950986,0.935192,0.914565,0.887838,0.853610,0.810579,0.758214,0.697632,0.631670,0.564541,0.502388,0.452668,0.419696,0.401072,0.391271,0.386144,0.383717,0.382820,0.382611,0.382595,0.382595
7.943282,0.960864,0.948160,0.931491,0.909751,0.881639,0.845742,0.800839,0.746672,0.684833,0.619236,0.556383,0.504142,0.467779,0.446104,0.434196,0.427763,0.424568,0.423292,0.422939,0.422887,0.422883
10.000000,0.968786,0.958594,0.945175,0.927588,0.904683,0.875127,0.837512,0.790721,0.734851,0.672426,0.609544,0.554674,0.514452,0.489229,0.474874,0.466999,0.462918,0.461070,0.460427,0.460287,0.460277
12.589254,0.975126,0.966967,0.956196,0.942025,0.923472,0.899349,0.868292,0.828912,0.780245,0.722869,0.661104,0.603474,0.558531,0.528911,0.511539,0.501861,0.496678,0.494165,0.493208,0.492975,0.492954
15.848932,0.980192,0.973671,0.965044,0.953662,0.938700,0.919135,0.893738,0.861123,0.819891,0.768981,0.710113,0.650410,0.600181,0.565208,0.544111,0.532236,0.525769,0.522505,0.521121,0.520687,0.520605
19.952623,0.984235,0.979030,0.972133,0.963012,0.950986,0.935192,0.914565,0.887838,0.853517,0.809520,0.755105,0.694991,0.639883,0.598870,0.573216,0.558661,0.550645,0.546429,0.544454,0.543736,0.543571
25.118864,0.987457,0.983308,0.977801,0.970506,0.960864,0.948160,0.931491,0.909751,0.881528,0.844374,0.795613,0.736936,0.677955,0.630684,0.599707,0.581813,0.571842,0.566452,0.563794,0.562743,0.562459
31.622777,0.990025,0.986719,0.982327,0.976501,0.968786,0.958594,0.945175,0.927588,0.904575,0.873679,0.830968,0.775336,0.714310,0.661395,0.624564,0.602576,0.590219,0.583459,0.579979,0.578428,0.577902
39.810717,0.992069,0.989437,0.985937,0.981290,0.975126,0.966967,0.956196,0.942025,0.923374,0.897968,0.861402,0.810393,0.749534,0.691920,0.648752,0.621791,0.606452,0.597961,0.593435,0.591259,0.590439
50.118723,0.993695,0.991601,0.988814,0.985110,0.980192,0.973671,0.965044,0.953662,0.938615,0.917902,0.887213,0.841763,0.782983,0.722176,0.672875,0.640282,0.621255,0.610607,0.604818,0.601913,0.600699
63.095734,0.994989,0.993323,0.991105,0.988155,0.984235,0.979030,0.972133,0.963012,0.950914,0.934130,0.908713,0.869153,0.814181,0.752313,0.697671,0.658890,0.635332,0.622035,0.614721,0.610889,0.609111
79.432823,0.996018,0.994693,0.992928,0.990580,0.987457,0.983308,0.977801,0.970506,0.960804,0.947265,0.926431,0.892812,0.843099,0.782348,0.723500,0.678257,0.649335,0.632715,0.623465,0.618475,0.616024
100.000000,0.996836,0.995782,0.994379,0.992511,0.990025,0.986719,0.982327,0.976501,0.968736,0.957851,0.940905,0.912818,0.868990,0.811171,0.749971,0.698804,0.663929,0.643219,0.631587,0.625231,0.621971
125.892541,0.997486,0.996648,0.995533,0.994047,0.992069,0.989437,0.985937,0.981290,0.975085,0.966357,0.952648,0.929469,0.891752,0.838572,0.777289,0.721125,0.679768,0.654064,0.639457,0.631378,0.627080
158.489319,0.998002,0.997337,0.996450,0.995269,0.993695,0.991601,0.988814,0.985110,0.980159,0.973174,0.962129,0.943183,0.911409,0.863934,0.804576,0.744884,0.697168,0.665767,0.647467,0.637231,0.631670
199.526231,0.998413,0.997884,0.997179,0.996240,0.994989,0.993323,0.991105,0.988155,0.984208,0.978627,0.969756,0.954373,0.927987,0.886608,0.830961,0.769886,0.716580,0.678906,0.656064,0.643176,0.636092
251.188643,0.998739,0.998319,0.997759,0.997012,0.996018,0.994693,0.992928,0.990580,0.987436,0.982983,0.975874,0.963447,0.941775,0.906567,0.856153,0.795929,0.738162,0.693903,0.665662,0.649447,0.640426
316.227766,0.998998,0.998664,0.998219,0.997626,0.996836,0.995782,0.994379,0.992511,0.990008,0.986458,0.980773,0.970771,0.953115,0.923676,0.879175,0.821676,0.761306,0.710976,0.676733,0.656418,0.645011
398.107171,0.999204,0.998939,0.998585,0.998114,0.997486,0.996648,0.995533,0.994047,0.992055,0.989227,0.984687,0.976660,0.962360,0.938050,0.899716,0.846699,0.786027,0.730553,0.689771,0.664450,0.650065
501.187234,0.999368,0.999157,0.998876,0.998502,0.998002,0.997337,0.996450,0.995269,0.993684,0.991433,0.987811,0.981383,0.969852,0.949971,0.917653,0.870244,0.811321,0.752177,0.704961,0.673919,0.655838
630.957344,0.999498,0.999330,0.999107,0.998810,0.998413,0.997884,0.997179,0.996240,0.994980,0.993189,0.990302,0.985164,0.975896,0.959748,0.932895,0.891522,0.836172,0.775510,0.722626,0.685285,0.662657
794.328235,0.999601,0.999468,0.999291,0.999054,0.998739,0.998319,0.997759,0.997012,0.996011,0.994586,0.992287,0.988185,0.980755,0.967706,0.945642,0.910405,0.860186,0.800263,0.742840,0.698880,0.670844
1000.000000,0.999683,0.999577,0.999437,0.999249,0.998998,0.998664,0.998219,0.997626,0.996830,0.995697,0.993867,0.990596,0.984651,0.974146,0.956166,0.926683,0.882308,0.825022,0.764918,0.714845,0.680795
