# Program: /Users/emthompson/PROJECTS/DistanceConversion/Bruce/RjbMeanVar.py
# Config file: Rjb_WC94_mechR_ar1p7_seis0-20_dip40.ini
# Process start: 2016-01-19T21:07:22.558346
# Process finish: 2016-01-19T21:13:47.770996
# rup_dim_model = WC94, mech = R, LW = False, AR = 1.7, ndip = 1, mindip = 0.698132, maxdip = 0.698132, ntheta = 73, maxnx = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 20.000000
"Repi_km","R4","R4.25","R4.5","R4.75","R5","R5.25","R5.5","R5.75","R6","R6.25","R6.5","R6.75","R7","R7.25","R7.5","R7.75","R8","R8.25","R8.5","R8.75","R9"
0.100000,0.069579,0.052980,0.040518,0.031223,0.024388,0.019589,0.016467,0.014522,0.013453,0.013043,0.012960,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956
0.125893,0.087087,0.066191,0.050445,0.038628,0.029830,0.023389,0.018918,0.016033,0.014270,0.013342,0.013014,0.012958,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956
0.158489,0.109018,0.082824,0.062982,0.048017,0.036811,0.028483,0.022426,0.018285,0.015647,0.014042,0.013238,0.012989,0.012957,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956
0.199526,0.136420,0.103660,0.078757,0.059907,0.045714,0.035086,0.027207,0.021533,0.017709,0.015278,0.013826,0.013150,0.012970,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956
0.251189,0.170591,0.129717,0.098569,0.074898,0.056978,0.043507,0.033438,0.025979,0.020677,0.017160,0.014935,0.013637,0.013088,0.012964,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956
0.316228,0.212992,0.162258,0.123351,0.093686,0.071168,0.054161,0.041404,0.031871,0.024851,0.019905,0.016665,0.014638,0.013507,0.013056,0.012961,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956
0.398107,0.264973,0.202646,0.154279,0.117256,0.089054,0.067674,0.051548,0.039457,0.030444,0.023825,0.019216,0.016224,0.014377,0.013391,0.013026,0.012959,0.012956,0.012956,0.012956,0.012956,0.012956
0.501187,0.326763,0.252401,0.192788,0.146730,0.111498,0.084684,0.064400,0.049082,0.037608,0.029077,0.022846,0.018557,0.015818,0.014161,0.013325,0.013055,0.013018,0.013017,0.013017,0.013017,0.013017
0.630957,0.396447,0.312103,0.240362,0.183390,0.139518,0.106004,0.080541,0.061254,0.046718,0.035839,0.027766,0.021925,0.018039,0.015776,0.014707,0.014360,0.014306,0.014304,0.014304,0.014304,0.014304
0.794328,0.470249,0.380286,0.297857,0.228807,0.174428,0.132663,0.100789,0.076590,0.058275,0.044476,0.034163,0.026528,0.021136,0.017891,0.016434,0.016019,0.015962,0.015960,0.015960,0.015960,0.015960
1.000000,0.544234,0.453499,0.364349,0.284054,0.217743,0.165897,0.126159,0.095837,0.072801,0.055391,0.042321,0.032553,0.025428,0.020757,0.018431,0.017719,0.017624,0.017621,0.017621,0.017621,0.017621
1.258925,0.615166,0.527730,0.436770,0.348687,0.270730,0.207193,0.157774,0.119918,0.091077,0.069191,0.052689,0.040309,0.031209,0.025060,0.021745,0.020571,0.020362,0.020351,0.020351,0.020351,0.020351
1.584893,0.680393,0.599579,0.511098,0.420145,0.333416,0.257923,0.197104,0.150035,0.114026,0.086602,0.065826,0.050178,0.038541,0.030454,0.025782,0.023935,0.023555,0.023531,0.023531,0.023531,0.023531
1.995262,0.737968,0.666312,0.583762,0.494412,0.403695,0.318563,0.245652,0.187522,0.142677,0.108406,0.082366,0.062637,0.047899,0.037523,0.031313,0.028560,0.027792,0.027689,0.027685,0.027685,0.027685
2.511886,0.787034,0.725750,0.651886,0.567737,0.477687,0.387444,0.304137,0.233872,0.178366,0.135658,0.103077,0.078330,0.059778,0.046600,0.038452,0.034548,0.033270,0.033024,0.033009,0.033009,0.033009
3.162278,0.827879,0.776739,0.713107,0.637112,0.551510,0.460942,0.371402,0.290135,0.222598,0.169643,0.128995,0.098030,0.074713,0.058035,0.047576,0.042298,0.040321,0.039827,0.039779,0.039779,0.039779
3.981072,0.861441,0.819362,0.766017,0.700034,0.621994,0.535087,0.444195,0.355611,0.276580,0.211818,0.161353,0.122671,0.093452,0.072541,0.059317,0.052346,0.049371,0.048432,0.048259,0.048249,0.048249
