# Process start: 2015-11-02T08:02:17.218900
# Process finish: 2015-11-02T10:20:54.938101
# rup_dim_model = WC94, mech = R, LW = False, AR = 1.7, ndip = 4, mindip = 0.610865, maxdip = 0.872665, ntheta = 73, maxnx = 40, nz = 20
# neps = 7, trunc = 3, min_seis_depth = 0.000000, max_seis_depth = 20.000000
"Repi_km","R4","R4.25","R4.5","R4.75","R5","R5.25","R5.5","R5.75","R6","R6.25","R6.5","R6.75","R7","R7.25","R7.5","R7.75","R8","R8.25","R8.5","R8.75","R9"
0.100000,97.663841,96.940780,96.011120,94.826390,93.334148,91.484463,89.243379,86.617858,83.696308,80.694186,77.948336,75.797445,74.425376,73.752191,73.525581,73.481335,73.477756,73.477683,73.477683,73.477683,73.477683
0.125893,77.579851,77.005279,76.266624,75.325373,74.139865,72.670442,70.890127,68.804441,66.483608,64.098768,61.917486,60.208821,59.118920,58.584380,58.404705,58.369712,58.366912,58.366858,58.366858,58.366858,58.366858
0.158489,61.627312,61.170620,60.583625,59.835721,58.893811,57.726392,56.312033,54.655114,52.811404,50.916841,49.183960,47.826518,46.960701,46.536239,46.393798,46.366138,46.363954,46.363914,46.363914,46.363914,46.363914
0.199526,48.956711,48.593563,48.126958,47.532563,46.784084,45.856493,44.732765,43.416371,41.951602,40.446422,39.069656,37.991134,37.303249,36.966159,36.853236,36.831379,36.829680,36.829651,36.829651,36.829651,36.829651
0.251189,38.893321,38.604356,38.233274,37.760722,37.165805,36.428639,35.535692,34.489714,33.325877,32.129925,31.035953,30.178903,29.632268,29.364496,29.274948,29.257675,29.256354,29.256333,29.256333,29.256333,29.256333
0.316228,30.901262,30.671065,30.375722,29.999830,29.526780,28.940770,28.231044,27.399771,26.474880,25.524466,24.655031,23.973799,23.539253,23.326431,23.255361,23.241696,23.240669,23.240655,23.240655,23.240655,23.240655
0.398107,24.554962,24.371253,24.135891,23.836618,23.460224,22.994148,22.429833,21.768989,21.033781,20.278281,19.587080,19.045380,18.699735,18.530418,18.473910,18.463071,18.462268,18.462258,18.462258,18.462258,18.462258
0.501187,19.516471,19.369473,19.181529,18.942907,18.643100,18.272116,17.823143,17.297521,16.712832,16.112001,15.562217,15.131202,14.856036,14.721145,14.676078,14.667438,14.666803,14.666795,14.666795,14.666795,14.666795
0.630957,15.517454,15.399385,15.248847,15.058139,14.818920,14.523242,14.165677,13.747265,13.281944,12.803773,12.366113,12.022830,11.803526,11.695946,11.659994,11.653082,11.652569,11.652562,11.652562,11.652562,11.652562
0.794328,12.344927,12.249560,12.128451,11.975491,11.784087,11.547932,11.262699,10.929188,10.558431,10.177439,9.828581,9.554731,9.379615,9.293685,9.265044,9.259556,9.259160,9.259156,9.259156,9.259156,9.259156
1.000000,9.829943,9.752226,9.654164,9.530847,9.377052,9.187805,8.959671,8.693261,8.397294,8.093167,7.814515,7.595493,7.455206,7.386304,7.363397,7.359052,7.358758,7.358757,7.358757,7.358757,7.358757
1.258925,7.838548,7.774378,7.694186,7.594027,7.469693,7.317257,7.134027,6.920482,6.683498,6.440006,6.216693,6.040816,5.927861,5.872274,5.853823,5.850340,5.850115,5.850115,5.850115,5.850115,5.850115
1.584893,6.264514,6.210654,6.144102,6.061844,5.960451,5.836749,5.688640,5.516533,5.325858,5.129984,4.950079,4.807955,4.716295,4.671032,4.656012,4.653199,4.653033,4.653034,4.653034,4.653034,4.653034
