# Process start: 2015-11-01T08:42:57.490581
# Process finish: 2015-11-01T18:58:54.309655
# rup_dim_model = WC94, mech = A, LW = False, AR = 1.0, ndip = 19, mindip = 0.000000, maxdip = 1.570796, ntheta = 73, maxnx = 40, nz = 20
# neps = 7, trunc = 3, min_seis_depth = 0.000000, max_seis_depth = 20.000000
"Repi_km","R4","R4.25","R4.5","R4.75","R5","R5.25","R5.5","R5.75","R6","R6.25","R6.5","R6.75","R7","R7.25","R7.5","R7.75","R8","R8.25","R8.5","R8.75","R9"
0.100000,98.944299,97.858853,96.485117,94.756303,92.595890,89.920345,86.646604,82.710492,78.118185,72.948716,66.417207,58.269141,50.908721,48.326739,50.064629,53.271611,55.689862,57.512795,58.908502,60.005868,60.822205
0.125893,78.596712,77.734282,76.642884,75.269465,73.553237,71.427845,68.827309,65.700653,62.052788,57.946497,52.758367,46.286268,40.439898,38.389116,39.769625,42.317018,44.237901,45.685907,46.794556,47.666224,48.314664
0.158489,62.434704,61.749365,60.882184,59.791016,58.427573,56.739146,54.673322,52.189612,49.291924,46.030131,41.909064,36.768194,32.124431,30.495571,31.592195,33.615658,35.141467,36.291657,37.172287,37.864677,38.379751
0.199526,49.597594,49.052851,48.363708,47.496679,46.413410,45.072027,43.430897,41.457862,39.156034,36.565032,33.291545,29.208074,25.519530,24.225787,25.096905,26.704194,27.916184,28.829810,29.529318,30.079303,30.488439
0.251189,39.401773,38.968613,38.420806,37.731745,36.870956,35.805179,34.501342,32.933905,31.105349,29.047150,26.446898,23.203322,20.273506,19.245925,19.937908,21.214616,22.177330,22.903046,23.458684,23.895551,24.220539
0.316228,31.304298,30.959646,30.523997,29.976204,29.292052,28.445117,27.409133,26.163815,24.711147,23.076137,21.010619,18.434149,16.106966,15.290784,15.840465,16.854581,17.619286,18.195740,18.637096,18.984111,19.242257
0.398107,24.873984,24.599473,24.252769,23.817062,23.273107,22.599907,21.776596,20.787072,19.632925,18.334021,16.693220,14.646602,12.798060,12.149773,12.586411,13.391942,13.999362,14.457252,14.807831,15.083473,15.288525
0.501187,19.768451,19.549438,19.273194,18.926351,18.493610,17.958284,17.303795,16.517358,15.600260,14.568281,13.264795,11.638997,10.170603,9.655650,10.002488,10.642331,11.124814,11.488524,11.766995,11.985944,12.148821
0.630957,15.715896,15.540678,15.320147,15.043668,14.699071,14.273092,13.752556,13.127314,12.398415,11.578395,10.542792,9.251196,8.084696,7.675609,7.951099,8.459328,8.842568,9.131467,9.352661,9.526575,9.655952
0.794328,12.500630,12.359814,12.183198,11.962311,11.687469,11.348120,10.933793,10.436434,9.856902,9.205164,8.382306,7.356137,6.429371,6.104288,6.323047,6.726709,7.031116,7.260589,7.436285,7.574427,7.677193
1.000000,9.951582,9.837598,9.695410,9.518283,9.298500,9.027661,8.697441,8.301449,7.840405,7.322227,6.668285,5.852907,5.116521,4.858073,5.031665,5.352209,5.593987,5.776255,5.915810,6.025536,6.107164
1.258925,7.933111,7.839889,7.724458,7.581558,7.405045,7.188223,6.924467,6.608710,6.241568,5.829339,5.309476,4.661453,4.076221,3.870627,4.008241,4.262670,4.454661,4.599430,4.710275,4.797430,4.862266
1.584893,6.337611,6.260419,6.165572,6.049166,5.906405,5.731955,5.520536,5.268131,4.975288,4.647023,4.233561,3.718386,3.253107,3.089376,3.198311,3.400121,3.552494,3.667449,3.755488,3.824712,3.876210
