# Program: /home/emthompson/DistanceConversion/RjbMeanVar.py
# Config file: Rjb_WC94_mechA_ar1p0_seis0-15.ini
# Process start: 2015-11-03T09:35:18.413498
# Process finish: 2015-11-03T10:19:47.079917
# rup_dim_model = WC94, mech = A, LW = False, AR = 1.0, ndip = 19, mindip = 0.000000, maxdip = 1.570796, ntheta = 73, maxnx = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 15.000000
"Repi_km","V4","V4.25","V4.5","V4.75","V5","V5.25","V5.5","V5.75","V6","V6.25","V6.5","V6.75","V7","V7.25","V7.5","V7.75","V8","V8.25","V8.5","V8.75","V9"
0.100000,0.000481,0.000415,0.000361,0.000320,0.000289,0.000268,0.000254,0.000246,0.000240,0.000237,0.000235,0.000234,0.000234,0.000234,0.000234,0.000234,0.000234,0.000234,0.000234,0.000234,0.000234
0.125893,0.000871,0.000748,0.000646,0.000564,0.000500,0.000454,0.000421,0.000401,0.000388,0.000380,0.000376,0.000375,0.000374,0.000374,0.000374,0.000374,0.000374,0.000374,0.000374,0.000374,0.000374
0.158489,0.001577,0.001355,0.001164,0.001006,0.000880,0.000783,0.000712,0.000663,0.000633,0.000615,0.000605,0.000602,0.000601,0.000601,0.000601,0.000601,0.000601,0.000601,0.000601,0.000601,0.000601
0.199526,0.002839,0.002455,0.002109,0.001812,0.001568,0.001374,0.001225,0.001117,0.001044,0.001001,0.000979,0.000971,0.000969,0.000969,0.000969,0.000969,0.000969,0.000969,0.000969,0.000969,0.000969
0.251189,0.005055,0.004423,0.003821,0.003281,0.002820,0.002444,0.002145,0.001917,0.001754,0.001650,0.001596,0.001578,0.001574,0.001573,0.001573,0.001573,0.001573,0.001573,0.001573,0.001573,0.001573
0.316228,0.008863,0.007891,0.006891,0.005945,0.005104,0.004391,0.003809,0.003351,0.003003,0.002765,0.002634,0.002584,0.002574,0.002573,0.002573,0.002573,0.002573,0.002573,0.002573,0.002573,0.002573
0.398107,0.015211,0.013870,0.012314,0.010733,0.009252,0.007941,0.006836,0.005940,0.005237,0.004725,0.004415,0.004282,0.004248,0.004245,0.004245,0.004245,0.004245,0.004245,0.004245,0.004245,0.004245
0.501187,0.025359,0.023883,0.021695,0.019210,0.016717,0.014396,0.012357,0.010646,0.009267,0.008224,0.007543,0.007205,0.007095,0.007075,0.007074,0.007074,0.007074,0.007074,0.007074,0.007074,0.007074
0.630957,0.040636,0.039997,0.037478,0.033923,0.029964,0.026031,0.022399,0.019230,0.016590,0.014529,0.013116,0.012338,0.012021,0.011934,0.011920,0.011919,0.011919,0.011919,0.011919,0.011919,0.011919
0.794328,0.061625,0.064491,0.063036,0.058780,0.053023,0.046723,0.040526,0.034854,0.029941,0.025978,0.023155,0.021488,0.020697,0.020405,0.020330,0.020320,0.020320,0.020320,0.020320,0.020320,0.020320
1.000000,0.086735,0.098653,0.102250,0.099278,0.092148,0.082851,0.072834,0.063092,0.054255,0.046849,0.041381,0.037983,0.036202,0.035408,0.035127,0.035061,0.035053,0.035053,0.035053,0.035053,0.035053
1.258925,0.111395,0.140454,0.157721,0.161957,0.156263,0.144395,0.129405,0.113522,0.098252,0.084858,0.074575,0.067908,0.064164,0.062287,0.061479,0.061214,0.061157,0.061151,0.061151,0.061151,0.061151
1.584893,0.130323,0.182814,0.227077,0.251826,0.256311,0.245792,0.226144,0.202074,0.176983,0.153722,0.135069,0.122445,0.114949,0.110865,0.108881,0.108076,0.107827,0.107780,0.107778,0.107778,0.107778
1.995262,0.141689,0.216505,0.299507,0.366495,0.401567,0.405270,0.386390,0.354061,0.315579,0.277115,0.244597,0.221559,0.207158,0.198765,0.194336,0.192318,0.191535,0.191306,0.191271,0.191272,0.191272
2.511886,0.147808,0.237302,0.359131,0.489681,0.590472,0.639592,0.640280,0.607075,0.554270,0.494618,0.440399,0.399860,0.373213,0.356790,0.347514,0.342940,0.340945,0.340199,0.340005,0.339987,0.339990
3.162278,0.151544,0.248465,0.397060,0.594613,0.798955,0.949794,1.017467,1.010798,0.953483,0.870060,0.785008,0.716708,0.669356,0.638635,0.620202,0.610523,0.606029,0.604124,0.603462,0.603337,0.603349
3.981072,0.154077,0.255160,0.417520,0.663627,0.982691,1.301055,1.525378,1.616882,1.594756,1.500310,1.379672,1.271625,1.191378,1.136563,1.101940,1.082647,1.073216,1.069011,1.067263,1.066708,1.066642
5.011872,0.155855,0.259658,0.429549,0.701312,1.107912,1.621280,2.114869,2.446165,2.566935,2.518001,2.377888,2.223492,2.096559,2.004236,1.942685,1.906420,1.887883,1.879370,1.875584,1.874067,1.873684
6.309573,0.157129,0.262805,0.437545,0.722996,1.177477,1.847593,2.670428,3.431860,3.917317,4.073887,3.993520,3.814515,3.634796,3.490790,3.388641,3.325041,3.291032,3.275240,3.268342,3.265378,3.264422
7.943282,0.158057,0.265055,0.443118,0.737219,1.216674,1.976003,3.077693,4.391474,5.559620,6.265604,6.477894,6.384442,6.184779,5.988488,5.834772,5.732436,5.674978,5.648177,5.636923,5.632168,5.630517
10.000000,0.158742,0.266690,0.447092,0.747094,1.241998,2.047014,3.314315,5.120980,7.210326,8.991679,10.021248,10.345605,10.279287,10.084278,9.890213,9.746321,9.660369,9.620762,9.606485,9.601893,9.600746
12.589254,0.159256,0.267896,0.449974,0.754115,1.259503,2.092149,3.443232,5.555780,8.512499,11.828837,14.537334,16.058501,16.587310,16.609396,16.464168,16.313151,16.212240,16.168170,16.159695,16.162689,16.167219
15.848932,0.159649,0.268798,0.452096,0.759197,1.271912,2.123189,3.523775,5.790341,9.315795,14.188434,19.456262,23.539599,25.769669,26.635378,26.843687,26.831089,26.787865,26.779662,26.807660,26.843509,26.870463
