# Program: /Users/emthompson/PROJECTS/DistanceConversion/Bruce/RjbMeanVar.py
# Config file: Rjb_WC94_mechSS_ar1p7_seis0-20_dip90.ini
# Process start: 2016-01-19T17:09:40.720897
# Process finish: 2016-01-19T17:09:50.078519
# rup_dim_model = WC94, mech = SS, LW = False, AR = 1.7, ndip = 1, mindip = 1.570796, maxdip = 1.570796, ntheta = 73, maxnx = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 20.000000
"Repi_km","V4","V4.25","V4.5","V4.75","V5","V5.25","V5.5","V5.75","V6","V6.25","V6.5","V6.75","V7","V7.25","V7.5","V7.75","V8","V8.25","V8.5","V8.75","V9"
0.100000,0.000937,0.000942,0.000946,0.000950,0.000953,0.000955,0.000956,0.000956,0.000956,0.000956,0.000956,0.000956,0.000956,0.000956,0.000956,0.000956,0.000956,0.000956,0.000956,0.000956,0.000956
0.125893,0.001475,0.001485,0.001493,0.001500,0.001506,0.001512,0.001514,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515,0.001515
0.158489,0.002321,0.002340,0.002355,0.002367,0.002378,0.002388,0.002396,0.002400,0.002401,0.002401,0.002401,0.002401,0.002401,0.002401,0.002401,0.002401,0.002401,0.002401,0.002401,0.002401,0.002401
0.199526,0.003644,0.003682,0.003712,0.003735,0.003754,0.003771,0.003787,0.003799,0.003805,0.003806,0.003806,0.003806,0.003806,0.003806,0.003806,0.003806,0.003806,0.003806,0.003806,0.003806,0.003806
0.251189,0.005706,0.005783,0.005842,0.005887,0.005924,0.005953,0.005979,0.006004,0.006022,0.006030,0.006032,0.006032,0.006032,0.006032,0.006032,0.006032,0.006032,0.006032,0.006032,0.006032,0.006032
0.316228,0.008899,0.009058,0.009177,0.009267,0.009338,0.009394,0.009440,0.009481,0.009519,0.009547,0.009558,0.009559,0.009559,0.009559,0.009559,0.009559,0.009559,0.009559,0.009559,0.009559,0.009559
0.398107,0.013804,0.014135,0.014380,0.014563,0.014702,0.014812,0.014898,0.014969,0.015032,0.015093,0.015134,0.015149,0.015151,0.015151,0.015151,0.015151,0.015151,0.015151,0.015151,0.015151,0.015151
0.501187,0.021247,0.021944,0.022453,0.022827,0.023108,0.023324,0.023493,0.023626,0.023734,0.023835,0.023929,0.023990,0.024010,0.024012,0.024012,0.024012,0.024012,0.024012,0.024012,0.024012,0.024012
0.630957,0.032330,0.033816,0.034882,0.035660,0.036234,0.036668,0.037001,0.037258,0.037464,0.037633,0.037794,0.037940,0.038028,0.038055,0.038057,0.038057,0.038057,0.038057,0.038057,0.038057,0.038057
0.794328,0.048342,0.051543,0.053810,0.055443,0.056631,0.057514,0.058184,0.058692,0.059089,0.059406,0.059673,0.059932,0.060170,0.060286,0.060314,0.060316,0.060316,0.060316,0.060316,0.060316,0.060316
1.000000,0.070296,0.077274,0.082152,0.085615,0.088107,0.089931,0.091290,0.092317,0.093093,0.093708,0.094202,0.094646,0.095095,0.095441,0.095579,0.095594,0.095594,0.095594,0.095594,0.095594,0.095594
1.258925,0.097734,0.112849,0.123470,0.130907,0.136195,0.140007,0.142806,0.144889,0.146455,0.147657,0.148611,0.149450,0.150313,0.151048,0.151412,0.151502,0.151507,0.151507,0.151507,0.151507,0.151507
1.584893,0.127266,0.157955,0.181039,0.197210,0.208550,0.216620,0.222460,0.226747,0.229940,0.232338,0.234200,0.235771,0.237364,0.238823,0.239788,0.240100,0.240122,0.240122,0.240122,0.240122,0.240122
1.995262,0.153233,0.207585,0.255022,0.290256,0.314877,0.332166,0.344507,0.353444,0.360001,0.364893,0.368597,0.371613,0.374515,0.377389,0.379468,0.380371,0.380559,0.380568,0.380568,0.380568,0.380568
