# Program: /home/emthompson/DistanceConversion/RjbMeanVar.py
# Config file: Rjb_S14_mechR_ar1p0_seis0-15.ini
# Process start: 2015-11-04T09:22:15.333137
# Process finish: 2015-11-04T09:39:26.019190
# rup_dim_model = S14, mech = R, LW = False, AR = 1.0, ndip = 7, mindip = 0.523599, maxdip = 1.047198, ntheta = 73, maxnx = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 15.000000
"Repi_km","R4","R4.25","R4.5","R4.75","R5","R5.25","R5.5","R5.75","R6","R6.25","R6.5","R6.75","R7","R7.25","R7.5","R7.75","R8","R8.25","R8.5","R8.75","R9"
0.100000,0.086144,0.065143,0.049364,0.037576,0.028843,0.022488,0.018048,0.015239,0.013756,0.013156,0.012987,0.012958,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956
0.125893,0.107747,0.081437,0.061601,0.046721,0.035627,0.027418,0.021459,0.017349,0.014837,0.013578,0.013101,0.012976,0.012957,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956
0.158489,0.134758,0.101887,0.077003,0.058255,0.044213,0.033778,0.026080,0.020508,0.016717,0.014484,0.013427,0.013057,0.012968,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956,0.012956
0.199526,0.168357,0.127443,0.096339,0.072806,0.055085,0.041831,0.032010,0.024802,0.019628,0.016174,0.014206,0.013330,0.013054,0.012999,0.012995,0.012995,0.012995,0.012995,0.012995,0.012995,0.012995
0.251189,0.209926,0.159257,0.120509,0.091081,0.068846,0.052127,0.039631,0.030375,0.023611,0.018821,0.015720,0.014062,0.013415,0.013256,0.013237,0.013237,0.013237,0.013237,0.013237,0.013237,0.013237
0.316228,0.260849,0.198706,0.150645,0.113965,0.086144,0.065143,0.049364,0.037576,0.028843,0.022496,0.018117,0.015484,0.014263,0.013884,0.013820,0.013816,0.013816,0.013816,0.013816,0.013816,0.013816
0.398107,0.321853,0.247186,0.188056,0.142479,0.107747,0.081437,0.061601,0.046721,0.035627,0.027428,0.021558,0.017736,0.015721,0.014970,0.014807,0.014795,0.014795,0.014795,0.014795,0.014795,0.014795
0.501187,0.392284,0.305657,0.234156,0.177947,0.134758,0.101887,0.077003,0.058255,0.044214,0.033788,0.026203,0.021028,0.018011,0.016699,0.016335,0.016288,0.016286,0.016286,0.016286,0.016286,0.016286
0.630957,0.469351,0.373921,0.290080,0.221742,0.168357,0.127443,0.096339,0.072806,0.055085,0.041841,0.032118,0.025344,0.021183,0.019175,0.018502,0.018372,0.018363,0.018363,0.018363,0.018363,0.018363
0.794328,0.548197,0.449710,0.356037,0.275147,0.209926,0.159257,0.120509,0.091081,0.068846,0.052139,0.039758,0.030992,0.025420,0.022493,0.021359,0.021084,0.021056,0.021055,0.021055,0.021055,0.021055
1.000000,0.623467,0.528565,0.430242,0.338662,0.260849,0.198706,0.150645,0.113965,0.086144,0.065160,0.049542,0.038340,0.030979,0.026861,0.025096,0.024581,0.024500,0.024495,0.024495,0.024495,0.024495
1.258925,0.691117,0.605242,0.508830,0.411071,0.321853,0.247186,0.188056,0.142479,0.107747,0.081456,0.061797,0.047603,0.038132,0.032616,0.030009,0.029102,0.028907,0.028891,0.028890,0.028890,0.028890
1.584893,0.749094,0.675094,0.586603,0.489077,0.392284,0.305657,0.234156,0.177947,0.134758,0.101912,0.077259,0.059388,0.047333,0.040075,0.036376,0.034924,0.034544,0.034495,0.034493,0.034493,0.034493
1.995262,0.797382,0.735531,0.658463,0.567572,0.469351,0.373921,0.290080,0.221742,0.168358,0.127474,0.096660,0.074225,0.058967,0.049596,0.044591,0.042423,0.041739,0.041610,0.041601,0.041601,0.041601
2.511886,0.837007,0.786170,0.721343,0.641239,0.548197,0.449710,0.356037,0.275147,0.209927,0.159295,0.120909,0.092838,0.073657,0.061743,0.055142,0.052004,0.050851,0.050577,0.050549,0.050548,0.050548
3.162278,0.869249,0.827843,0.774396,0.706532,0.623467,0.528565,0.430242,0.338662,0.260850,0.198755,0.151146,0.116166,0.092162,0.077097,0.068528,0.064213,0.062450,0.061943,0.061862,0.061857,0.061857
3.981072,0.895337,0.861811,0.818198,0.762044,0.691117,0.605242,0.508830,0.411071,0.321855,0.247248,0.188687,0.145251,0.115309,0.096416,0.085504,0.079782,0.077205,0.076321,0.076130,0.076115,0.076114
5.011872,0.916358,0.889330,0.853971,0.808051,0.749094,0.675094,0.586603,0.489077,0.392286,0.305734,0.234948,0.181422,0.144251,0.120699,0.106966,0.099519,0.095900,0.094496,0.094128,0.094081,0.094078
6.309573,0.933242,0.911524,0.882991,0.845709,0.797382,0.735531,0.658463,0.567572,0.469354,0.374018,0.291076,0.226114,0.180289,0.151058,0.133890,0.124404,0.119569,0.117495,0.116840,0.116716,0.116707
7.943282,0.946773,0.929364,0.906419,0.876303,0.837007,0.786170,0.721343,0.641239,0.548201,0.449833,0.357291,0.280653,0.224946,0.188959,0.167697,0.155818,0.149537,0.146583,0.145495,0.145235,0.145208
10.000000,0.957595,0.943667,0.925265,0.901028,0.869249,0.827843,0.774396,0.706532,0.623471,0.528711,0.431790,0.345518,0.279628,0.235930,0.209825,0.195097,0.187109,0.183126,0.181495,0.181022,0.180946
12.589254,0.966238,0.955112,0.940384,0.920934,0.895337,0.861811,0.818198,0.762044,0.691120,0.605390,0.510556,0.419032,0.344212,0.292298,0.260596,0.242557,0.232628,0.227473,0.225144,0.224338,0.224162
15.848932,0.973133,0.964256,0.952486,0.936912,0.916358,0.889330,0.853971,0.808051,0.749095,0.675210,0.588157,0.496961,0.416040,0.356202,0.318310,0.296467,0.284318,0.277801,0.274626,0.273387,0.273059
19.952623,0.978628,0.971553,0.962159,0.949709,0.933242,0.911524,0.882991,0.845709,0.797381,0.735584,0.659441,0.573738,0.490814,0.424469,0.380076,0.353842,0.339116,0.331076,0.326975,0.325206,0.324640
25.118864,0.983005,0.977369,0.969880,0.959941,0.946773,0.929364,0.906419,0.876303,0.837005,0.786156,0.721534,0.644396,0.563528,0.493075,0.442489,0.411335,0.393640,0.383870,0.378707,0.376270,0.375369
31.622777,0.986488,0.982002,0.976036,0.968110,0.957595,0.943667,0.925265,0.901028,0.869247,0.827786,0.773994,0.706668,0.630673,0.558396,0.502243,0.465744,0.444545,0.432716,0.426319,0.423133,0.421826
39.810717,0.989260,0.985691,0.980941,0.974626,0.966238,0.955112,0.940384,0.920934,0.895335,0.861743,0.817522,0.759949,0.690417,0.618465,0.557720,0.515570,0.490210,0.475912,0.468068,0.464005,0.462174
50.118723,0.991464,0.988625,0.984846,0.979818,0.973133,0.964256,0.952486,0.936912,0.916356,0.889262,0.853208,0.804778,0.742688,0.673061,0.608949,0.561045,0.530846,0.513545,0.503950,0.498824,0.496348
63.095734,0.993217,0.990960,0.987953,0.983952,0.978628,0.971553,0.962159,0.949709,0.933241,0.911462,0.882251,0.842090,0.787866,0.722250,0.656317,0.602966,0.567325,0.546341,0.534587,0.528191,0.524951
79.432823,0.994610,0.992816,0.990425,0.987242,0.983005,0.977369,0.969880,0.959941,0.946772,0.929310,0.905751,0.872794,0.826324,0.766061,0.700201,0.642214,0.600723,0.575303,0.560891,0.552951,0.548782
100.000000,0.995718,0.994291,0.992391,0.989859,0.986488,0.982002,0.976036,0.968110,0.957594,0.943621,0.924685,0.897848,0.858708,0.804774,0.740908,0.679514,0.632081,0.601493,0.583794,0.573939,0.568631
125.892541,0.996598,0.995464,0.993953,0.991941,0.989260,0.985691,0.980941,0.974626,0.966237,0.955074,0.939892,0.918168,0.885684,0.838533,0.778349,0.715247,0.662314,0.625962,0.604229,0.591999,0.585305
158.489319,0.997297,0.996396,0.995196,0.993596,0.991464,0.988625,0.984846,0.979818,0.973132,0.964224,0.952077,0.934568,0.907889,0.867498,0.812378,0.749578,0.692113,0.649652,0.623096,0.607928,0.599532
199.526231,0.997853,0.997137,0.996183,0.994911,0.993217,0.990960,0.987953,0.983952,0.978628,0.971527,0.961822,0.947755,0.926020,0.892057,0.842948,0.782394,0.721828,0.673339,0.641238,0.622426,0.611903
251.188643,0.998294,0.997725,0.996967,0.995957,0.994610,0.992816,0.990425,0.987242,0.983004,0.977348,0.969605,0.958331,0.940730,0.912574,0.869836,0.813193,0.751451,0.697620,0.659455,0.636205,0.623045
316.227766,0.998645,0.998193,0.997591,0.996788,0.995718,0.994291,0.992391,0.989859,0.986488,0.981985,0.975813,0.966796,0.952604,0.929501,0.893085,0.841673,0.780837,0.722836,0.678403,0.649922,0.633489
398.107171,0.998923,0.998565,0.998086,0.997448,0.996598,0.995464,0.993953,0.991941,0.989260,0.985677,0.980761,0.973558,0.962154,0.943347,0.912868,0.867449,0.809408,0.748938,0.698590,0.664222,0.643747
501.187234,0.999145,0.998860,0.998480,0.997973,0.997297,0.996396,0.995196,0.993596,0.991464,0.988614,0.984701,0.978955,0.969814,0.954590,0.929405,0.890193,0.836535,0.775689,0.720357,0.679696,0.654359
630.957344,0.999321,0.999094,0.998792,0.998389,0.997853,0.997137,0.996183,0.994911,0.993217,0.990951,0.987837,0.983258,0.975944,0.963674,0.943062,0.909904,0.861767,0.802608,0.743724,0.696802,0.665851
794.328235,0.999460,0.999280,0.999041,0.998721,0.998294,0.997725,0.996967,0.995957,0.994610,0.992809,0.990332,0.986685,0.980843,0.970985,0.954236,0.926636,0.884533,0.828850,0.768375,0.715853,0.678739
1000.000000,0.999571,0.999428,0.999238,0.998984,0.998645,0.998193,0.997591,0.996788,0.995717,0.994286,0.992316,0.989413,0.984752,0.976851,0.963312,0.940599,0.904593,0.853820,0.793904,0.736957,0.693450
