# Process start: 2015-11-02T21:39:56.932481
# Process finish: 2015-11-03T00:12:32.355471
# rup_dim_model = S14, mech = N, LW = False, AR = 1.0, ndip = 5, mindip = 0.698132, maxdip = 1.047198, ntheta = 73, maxnx = 40, nz = 20
# neps = 7, trunc = 3, min_seis_depth = 0.000000, max_seis_depth = 15.000000
"Repi_km","R4","R4.25","R4.5","R4.75","R5","R5.25","R5.5","R5.75","R6","R6.25","R6.5","R6.75","R7","R7.25","R7.5","R7.75","R8","R8.25","R8.5","R8.75","R9"
0.100000,72.152358,71.250062,70.084098,68.592312,66.710065,64.383344,61.597393,58.431247,55.132158,52.133315,49.894289,48.611097,48.091304,47.959028,47.942203,47.941635,47.941636,47.941636,47.941636,47.941636,47.941636
0.125893,57.316262,56.599223,55.672787,54.487569,52.992214,51.143814,48.930642,46.415468,43.794681,41.412382,39.633696,38.614413,38.201660,38.096714,38.083398,38.082952,38.082953,38.082953,38.082953,38.082953,38.082953
0.158489,45.532547,44.962559,44.226299,43.284518,42.096413,40.627894,38.869636,36.871488,34.789432,32.896797,31.483679,30.673928,30.346115,30.262832,30.252290,30.251938,30.251939,30.251939,30.251939,30.251939,30.251939
0.199526,36.173726,35.720405,35.135089,34.386574,33.442435,32.275582,30.878597,29.291060,27.636851,26.133076,25.010226,24.366785,24.106333,24.040199,24.031842,24.031565,24.031565,24.031565,24.031565,24.031565,24.031565
0.251189,28.741460,28.380626,27.915050,27.319914,26.569442,25.642101,24.531983,23.270507,21.956045,20.761039,19.868630,19.357157,19.150091,19.097508,19.090865,19.090644,19.090645,19.090645,19.090645,19.090645,19.090645
0.316228,22.840016,22.552410,22.181736,21.708250,21.111452,20.374216,19.491831,18.489224,17.444500,16.494626,15.785143,15.378397,15.213663,15.171802,15.166507,15.166330,15.166331,15.166331,15.166331,15.166331,15.166331
0.398107,18.155183,17.925459,17.629896,17.252796,16.777849,16.191427,15.489760,14.692611,13.861975,13.106639,12.542298,12.218644,12.087516,12.054188,12.049973,12.049833,12.049833,12.049833,12.049833,12.049833,12.049833
0.501187,14.437531,14.253453,14.017214,13.716357,13.337914,12.871032,12.312680,11.678511,11.017709,10.416666,9.967405,9.709621,9.605159,9.578623,9.575279,9.575168,9.575168,9.575168,9.575168,9.575168,9.575168
0.630957,11.489111,11.340920,11.151401,10.910708,10.608547,10.236280,9.791459,9.286456,8.760268,8.281493,7.923373,7.717710,7.634317,7.613135,7.610473,7.610385,7.610385,7.610385,7.610385,7.610385,7.610385
0.794328,9.152868,9.032798,8.879935,8.686552,8.444512,8.146958,7.791911,7.389127,6.969488,6.587452,6.301369,6.136823,6.069993,6.052990,6.050849,6.050776,6.050776,6.050776,6.050776,6.050776,6.050776
