# Program: /home/emthompson/DistanceConversion/RjbMeanVar.py
# Config file: Rjb_S14_mechA_ar1p0_seis0-15.ini
# Process start: 2015-11-03T13:57:22.604575
# Process finish: 2015-11-03T14:41:20.731894
# rup_dim_model = S14, mech = A, LW = False, AR = 1.0, ndip = 19, mindip = 0.000000, maxdip = 1.570796, ntheta = 73, maxnx = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 15.000000
"Repi_km","R4","R4.25","R4.5","R4.75","R5","R5.25","R5.5","R5.75","R6","R6.25","R6.5","R6.75","R7","R7.25","R7.5","R7.75","R8","R8.25","R8.5","R8.75","R9"
0.100000,0.130929,0.104606,0.083950,0.068082,0.056151,0.047371,0.041106,0.036917,0.034331,0.032816,0.031962,0.031545,0.031396,0.031364,0.031361,0.031361,0.031361,0.031361,0.031361,0.031361,0.031361
0.125893,0.156728,0.125147,0.100046,0.080436,0.065439,0.054188,0.045925,0.040091,0.036278,0.033994,0.032739,0.032136,0.031917,0.031869,0.031866,0.031866,0.031866,0.031866,0.031866,0.031866,0.031866
0.158489,0.187454,0.149849,0.119636,0.095692,0.077076,0.062922,0.052340,0.044583,0.039163,0.035740,0.033841,0.032955,0.032637,0.032567,0.032562,0.032562,0.032562,0.032562,0.032562,0.032562,0.032562
0.199526,0.223705,0.179288,0.143257,0.114368,0.091533,0.073867,0.060513,0.050584,0.043351,0.038414,0.035497,0.034121,0.033650,0.033547,0.033539,0.033539,0.033539,0.033539,0.033539,0.033539,0.033539
0.251189,0.266122,0.214075,0.171444,0.136940,0.109350,0.087626,0.070879,0.058263,0.048939,0.042288,0.038018,0.035819,0.035021,0.034850,0.034835,0.034835,0.034835,0.034835,0.034835,0.034835,0.034835
0.316228,0.315333,0.254901,0.204837,0.163941,0.130929,0.104606,0.083950,0.068082,0.056160,0.047488,0.041639,0.038336,0.036969,0.036620,0.036581,0.036580,0.036580,0.036580,0.036580,0.036580,0.036580
0.398107,0.371679,0.302374,0.244103,0.195959,0.156728,0.125147,0.100046,0.080436,0.065449,0.054331,0.046589,0.041897,0.039703,0.039011,0.038896,0.038888,0.038888,0.038888,0.038888,0.038888,0.038888
0.501187,0.434934,0.356916,0.289861,0.233709,0.187454,0.149849,0.119636,0.095692,0.077088,0.063085,0.053138,0.046830,0.043531,0.042252,0.041928,0.041886,0.041883,0.041883,0.041883,0.041883,0.041883
0.630957,0.503639,0.418539,0.342597,0.277779,0.223705,0.179288,0.143257,0.114368,0.091549,0.074073,0.061484,0.053305,0.048726,0.046638,0.045928,0.045772,0.045758,0.045758,0.045758,0.045758,0.045758
0.794328,0.574524,0.486122,0.402524,0.328740,0.266122,0.214075,0.171444,0.136940,0.109370,0.087885,0.072071,0.061570,0.055502,0.052492,0.051235,0.050826,0.050743,0.050737,0.050737,0.050737,0.050737
